timestamp_sec,voltage
0.0,-0.11476106304676051
0.004,-0.10722106660808883
0.008,-0.10223201964687083
0.012,-0.10435837361070353
0.016,-0.11860407726162135
0.02,-0.1085985031326846
0.024,-0.10705493937470206
0.028,-0.11188648825376864
0.032,-0.11713800668325965
0.036,-0.12268161990747155
0.04,-0.10138575085183574
0.044,-0.11108857710240436
0.048,-0.12332583935983582
0.052,-0.11193565274636078
0.056,-0.10077174060401163
0.06,-0.11015355002087464
0.064,-0.09596557809188519
0.068,-0.10472076282428448
0.072,-0.11321592296921971
0.076,-0.12532409868200683
0.08,-0.119853832221542
0.084,-0.08560044415756114
0.088,-0.11776995565697365
0.092,-0.11440033058965422
0.096,-0.11268671414344711
0.1,-0.11830556077487399
0.104,-0.10308350774762105
0.108,-0.09865001516964292
0.112,-0.1154911554160848
0.116,-0.12027538532237841
0.12,-0.11338141233524848
0.124,-0.1015843584333063
0.128,-0.10441150652456478
0.132,-0.1056266014716887
0.136,-0.12063786825925134
0.14,-0.11430804076284472
0.144,-0.08545260770648411
0.148,-0.10937101900139112
0.152,-0.11295559448015918
0.156,-0.12100789212467013
0.16,-0.12059783124226847
0.164,-0.0744000520183909
0.168,-0.09981327546137661
0.172,-0.10521576787306551
0.176,-0.09686163947754863
0.18,-0.1013226344756414
0.184,-0.10064737151684533
0.188,-0.09444031870125341
0.192,-0.11513689038302735
0.196,-0.10691308956809804
0.2,-0.11646504294989551
0.204,-0.10288161073171195
0.208,-0.10028748086896287
0.212,-0.11231137020109241
0.216,-0.11478161342432444
0.22,-0.11335462399486983
0.224,-0.10505603481905468
0.228,-0.08996293263566671
0.232,-0.11407660972378494
0.236,-0.11854474046546824
0.24,-0.10838963762132658
0.244,-0.08925003445748812
0.248,-0.10581913210707769
0.252,-0.12422075643198122
0.256,-0.12202315918975015
0.26,-0.11206821025159037
0.264,-0.09779048274678939
0.268,-0.0881735575980661
0.272,-0.09877543669359529
0.276,-0.11570597009826228
0.28,-0.10458918419355318
0.284,-0.09393204624775635
0.288,-0.08916057665295647
0.292,-0.11281364615337237
0.296,-0.09813366154229511
0.3,-0.10696923882034381
0.304,-0.09806261224285405
0.308,-0.10605302555574367
0.312,-0.11765754697523202
0.316,-0.10780840040757243
0.32,-0.10374890894049264
0.324,-0.06947976982365772
0.328,-0.09892062826862293
0.332,-0.10899667389753749
0.336,-0.12749307082113348
0.34,-0.09512201809750775
0.344,-0.08349176690850757
0.348,-0.09470410544720778
0.352,-0.11662618991391491
0.356,-0.10116689755116616
0.36,-0.07957015777375176
0.364,-0.09291771473374154
0.368,-0.08563784272065961
0.372,-0.10276205086817532
0.376,-0.09254755431464079
0.38,-0.10131313313843883
0.384,-0.08338597882914242
0.388,-0.09262985944065953
0.392,-0.10125419300971245
0.396,-0.10481625054626721
0.4,-0.09809919562218818
0.404,-0.10190339996145405
0.408,-0.09860063700013444
0.412,-0.11717085928103108
0.416,-0.11668212191478362
0.42,-0.0902799779728495
0.424,-0.08409978762972324
0.428,-0.09451983007558468
0.432,-0.11341624040991756
0.436,-0.10362987593281543
0.44,-0.09149596487561189
0.444,-0.08798315013328385
0.448,-0.0928306162779013
0.452,-0.09826977897783835
0.456,-0.1106992033244183
0.46,-0.10654812411749545
0.464,-0.09568148674037724
0.468,-0.0960221090440992
0.472,-0.09464912881494858
0.476,-0.10061109691098753
0.48,-0.10982161152322076
0.484,-0.08299063276482899
0.488,-0.0892366373016989
0.492,-0.10220759630940009
0.496,-0.10923782104723925
0.5,-0.0942625720384149
0.504,-0.09621967176941096
0.508,-0.07896603056993474
0.512,-0.10306086877419755
0.516,-0.10370215279266781
0.52,-0.09252653594385189
0.524,-0.08377256048287213
0.528,-0.09847714131002976
0.532,-0.1091995613028884
0.536,-0.11048131179323639
0.54,-0.09838983161693957
0.544,-0.0942760649523316
0.548,-0.09646255304388986
0.552,-0.09994773581961991
0.556,-0.11245794367769191
0.56,-0.0824212468326908
0.564,-0.09906666327846163
0.568,-0.10380271223191326
0.572,-0.10239774929602366
0.576,-0.11065446738503781
0.58,-0.0969271478359986
0.584,-0.09206269331674047
0.588,-0.09248822309905984
0.592,-0.09154008589661979
0.596,-0.10702199549282491
0.6,-0.09161183179493103
0.604,-0.09374877847801749
0.608,-0.08873537178320559
0.612,-0.08859425575071227
0.616,-0.11968115847818281
0.62,-0.09791560930157707
0.624,-0.10248323465002387
0.628,-0.09695518582797227
0.632,-0.10741945729523122
0.636,-0.11108499533490865
0.64,-0.09953276322071405
0.644,-0.09653232413827528
0.648,-0.10096696789533134
0.652,-0.1118550285545537
0.656,-0.10688507783282482
0.66,-0.10362909202886353
0.664,-0.08344656989406234
0.668,-0.07902235202621062
0.672,-0.11265308102783886
0.676,-0.0911375226402466
0.68,-0.08803072976237301
0.684,-0.08584999502784582
0.688,-0.09836733222202805
0.692,-0.1116808622783615
0.696,-0.08945846398587193
0.7,-0.11612774516852697
0.704,-0.09606686950366868
0.708,-0.08599615114457038
0.712,-0.09350925704411393
0.716,-0.11441460586796362
0.72,-0.09335740458364658
0.724,-0.08267546489560992
0.728,-0.07976248947638598
0.732,-0.09660700412712785
0.736,-0.10209828974959283
0.74,-0.08732805989250488
0.744,-0.08528436722436783
0.748,-0.06677783155286897
0.752,-0.09877506817086394
0.756,-0.10482946330507992
0.76,-0.09792420029393911
0.764,-0.0707114358357156
0.768,-0.0943802993950694
0.772,-0.10640293120997664
0.776,-0.10709535548121563
0.78,-0.08601167521369074
0.784,-0.06241889537955475
0.788,-0.0917261928906879
0.792,-0.09528464468142689
0.796,-0.1007155384109125
0.8,-0.10427622512795721
0.804,-0.09104903026749454
0.808,-0.06938774228542335
0.812,-0.08045243392824426
0.816,-0.11104282073687463
0.82,-0.10365433794494072
0.824,-0.06575714593363247
